model,response_quality,relevance,helpfulness,toxicity,refusal,harmfulness,toxicity_detoxify,quality_axis,safety_axis,strategy,beta,temperature,quality_mean,safety_bad_mean,composite_score
gsi_swiss_no_match__beta1.0000_temp12.5000,0.752,0.664,0.7667,0.028,0.5053,0.0347,0.0079,0.7276,0.9687,gsi_swiss_no_match,1.0,12.5,0.7275666666666667,0.18933333333333333,0.5382333333333333
gsi_elo_no_match__beta1.3750_temp15.0000,0.7481,0.6506,0.7325,0.0221,0.4805,0.0312,0.0059,0.7104,0.9734,gsi_elo_no_match,1.375,15.0,0.7103999999999999,0.1779333333333333,0.5324666666666666
gsi_elo_no_th__beta2.1250_temp12.5000,0.7815,0.6667,0.7037,0.0296,0.5123,0.0481,0.0221,0.7173,0.9611,gsi_elo_no_th,2.125,12.5,0.7172999999999999,0.19666666666666666,0.5206333333333333
gsi_elo_no_match__beta2.5000_temp15.0000,0.7141,0.6872,0.7449,0.0231,0.5321,0.0359,0.0102,0.7154,0.9705,gsi_elo_no_match,2.5,15.0,0.7153999999999999,0.1970333333333333,0.5183666666666666
gsi_elo_no_th__beta1.7500_temp15.0000,0.7747,0.6835,0.6899,0.0392,0.5025,0.0519,0.015,0.716,0.9544,gsi_elo_no_th,1.75,15.0,0.7160333333333334,0.19786666666666664,0.5181666666666668
gsi_elo_no_th__beta1.0000_temp10.0000,0.7633,0.6975,0.705,0.0212,0.5538,0.04,0.0122,0.7219,0.9694,gsi_elo_no_th,1.0,10.0,0.7219333333333333,0.205,0.5169333333333334
gsi_swiss_no_th__beta1.7500_temp10.0000,0.7633,0.7063,0.6759,0.0063,0.543,0.0519,0.0083,0.7152,0.9709,gsi_swiss_no_th,1.75,10.0,0.7151666666666667,0.20040000000000002,0.5147666666666667
gsi_elo_no_match__beta2.5000_temp11.2500,0.7727,0.6844,0.7247,0.0312,0.5519,0.0558,0.0106,0.7273,0.9565,gsi_elo_no_match,2.5,11.25,0.7272666666666666,0.21296666666666664,0.5143
gsi_swiss_no_th__beta1.7500_temp13.7500,0.7595,0.7063,0.6772,0.0063,0.543,0.0519,0.0083,0.7143,0.9709,gsi_swiss_no_th,1.75,13.75,0.7143333333333333,0.20040000000000002,0.5139333333333332
gsi_swiss_no_th__beta1.7500_temp11.2500,0.7595,0.7063,0.6772,0.0063,0.543,0.0519,0.0083,0.7143,0.9709,gsi_swiss_no_th,1.75,11.25,0.7143333333333333,0.20040000000000002,0.5139333333333332
gsi_swiss_no_th__beta1.7500_temp12.5000,0.7595,0.7063,0.6772,0.0063,0.543,0.0519,0.0083,0.7143,0.9709,gsi_swiss_no_th,1.75,12.5,0.7143333333333333,0.20040000000000002,0.5139333333333332
gsi_swiss_no_th__beta1.7500_temp15.0000,0.7595,0.7063,0.6772,0.0063,0.543,0.0519,0.0083,0.7143,0.9709,gsi_swiss_no_th,1.75,15.0,0.7143333333333333,0.20040000000000002,0.5139333333333332
gsi_swiss_no_th__beta2.1250_temp10.0000,0.7747,0.659,0.7,0.0289,0.5253,0.0386,0.0167,0.7112,0.9663,gsi_swiss_no_th,2.125,10.0,0.7112333333333334,0.1976,0.5136333333333334
gsi_swiss_no_th__beta2.1250_temp12.5000,0.7771,0.659,0.6964,0.0289,0.5253,0.0386,0.0167,0.7108,0.9663,gsi_swiss_no_th,2.125,12.5,0.7108333333333334,0.1976,0.5132333333333334
gsi_swiss_no_th__beta2.1250_temp15.0000,0.7771,0.659,0.6964,0.0289,0.5253,0.0386,0.0167,0.7108,0.9663,gsi_swiss_no_th,2.125,15.0,0.7108333333333334,0.1976,0.5132333333333334
gsi_swiss_no_th__beta2.1250_temp13.7500,0.7771,0.659,0.6964,0.0289,0.5253,0.0386,0.0167,0.7108,0.9663,gsi_swiss_no_th,2.125,13.75,0.7108333333333334,0.1976,0.5132333333333334
gsi_swiss_no_th__beta2.1250_temp11.2500,0.7771,0.659,0.6964,0.0289,0.5253,0.0386,0.0167,0.7108,0.9663,gsi_swiss_no_th,2.125,11.25,0.7108333333333334,0.1976,0.5132333333333334
gsi_elo_no_th__beta1.0000_temp11.2500,0.7525,0.7075,0.7075,0.0312,0.5638,0.0338,0.0116,0.7225,0.9675,gsi_elo_no_th,1.0,11.25,0.7225,0.2096,0.5129
gsi_elo_no_match__beta2.1250_temp11.2500,0.7289,0.6408,0.7237,0.0066,0.5307,0.0289,0.0025,0.6978,0.9822,gsi_elo_no_match,2.125,11.25,0.6978,0.1887333333333333,0.5090666666666667
gsi_swiss_no_match__beta1.3750_temp11.2500,0.7714,0.6597,0.7065,0.0286,0.5532,0.0325,0.0081,0.7126,0.9695,gsi_swiss_no_match,1.375,11.25,0.7125333333333334,0.20476666666666668,0.5077666666666667
gsi_swiss_no_match__beta2.1250_temp13.7500,0.7649,0.5935,0.7429,0.0169,0.5338,0.0299,0.0094,0.7004,0.9766,gsi_swiss_no_match,2.125,13.75,0.7004333333333334,0.19353333333333333,0.5069
gsi_swiss_no_match__beta1.3750_temp10.0000,0.7333,0.6308,0.6987,0.0269,0.4833,0.0359,0.0089,0.6876,0.9686,gsi_swiss_no_match,1.375,10.0,0.6876000000000001,0.18203333333333335,0.5055666666666667
gsi_elo_no_th__beta1.3750_temp13.7500,0.7671,0.678,0.6829,0.0451,0.5012,0.0659,0.0116,0.7093,0.9445,gsi_elo_no_th,1.375,13.75,0.7093333333333334,0.20406666666666665,0.5052666666666668
gsi_elo_no_th__beta2.1250_temp10.0000,0.775,0.6625,0.6938,0.0388,0.5237,0.0562,0.0128,0.7104,0.9525,gsi_elo_no_th,2.125,10.0,0.7104333333333334,0.20623333333333335,0.5042
gsi_elo_no_th__beta1.7500_temp13.7500,0.75,0.6854,0.6854,0.0329,0.5232,0.0524,0.0047,0.7069,0.9573,gsi_elo_no_th,1.75,13.75,0.7069333333333333,0.20283333333333334,0.5041
gsi_elo_no_th__beta1.7500_temp12.5000,0.7753,0.7074,0.6827,0.042,0.5531,0.0593,0.006,0.7218,0.9494,gsi_elo_no_th,1.75,12.5,0.7218,0.21813333333333337,0.5036666666666666
gsi_swiss_no_match__beta1.0000_temp11.2500,0.7182,0.6481,0.7299,0.0273,0.5013,0.0584,0.0145,0.6987,0.9571,gsi_swiss_no_match,1.0,11.25,0.6987333333333332,0.19566666666666666,0.5030666666666666
gsi_elo_no_match__beta1.0000_temp11.2500,0.736,0.6507,0.732,0.036,0.5333,0.0413,0.0061,0.7062,0.9613,gsi_elo_no_match,1.0,11.25,0.7062333333333332,0.20353333333333334,0.5026999999999998
gsi_swiss_no_match__beta1.0000_temp13.7500,0.7553,0.6829,0.6882,0.0276,0.5342,0.0579,0.0044,0.7088,0.9572,gsi_swiss_no_match,1.0,13.75,0.7088,0.20656666666666668,0.5022333333333333
gsi_swiss_no_match__beta1.7500_temp13.7500,0.7544,0.6266,0.719,0.0215,0.5316,0.0418,0.0036,0.7,0.9684,gsi_swiss_no_match,1.75,13.75,0.7000000000000001,0.1983,0.5017
gsi_elo_no_th__beta1.0000_temp15.0000,0.71,0.7112,0.6912,0.0512,0.5125,0.0475,0.0152,0.7042,0.9506,gsi_elo_no_th,1.0,15.0,0.7041333333333334,0.20373333333333332,0.5004000000000001
gsi_elo_no_th__beta2.5000_temp11.2500,0.7815,0.6741,0.6901,0.0481,0.5296,0.0704,0.0169,0.7152,0.9407,gsi_elo_no_th,2.5,11.25,0.7152333333333334,0.2160333333333333,0.4992000000000001
gsi_swiss_no_th__beta1.3750_temp12.5000,0.7756,0.6878,0.7012,0.0488,0.563,0.0561,0.0121,0.7215,0.9476,gsi_swiss_no_th,1.375,12.5,0.7215333333333334,0.22263333333333332,0.4989
gsi_swiss_no_th__beta1.3750_temp10.0000,0.7768,0.6878,0.7,0.0488,0.563,0.0561,0.0121,0.7215,0.9476,gsi_swiss_no_th,1.375,10.0,0.7215333333333334,0.22263333333333332,0.4989
gsi_swiss_no_th__beta1.3750_temp15.0000,0.7756,0.6878,0.7012,0.0488,0.563,0.0561,0.0121,0.7215,0.9476,gsi_swiss_no_th,1.375,15.0,0.7215333333333334,0.22263333333333332,0.4989
gsi_swiss_no_th__beta1.3750_temp13.7500,0.7756,0.6878,0.7012,0.0488,0.563,0.0561,0.0121,0.7215,0.9476,gsi_swiss_no_th,1.375,13.75,0.7215333333333334,0.22263333333333332,0.4989
gsi_swiss_no_th__beta1.3750_temp11.2500,0.7756,0.6878,0.7012,0.0488,0.563,0.0561,0.0121,0.7215,0.9476,gsi_swiss_no_th,1.375,11.25,0.7215333333333334,0.22263333333333332,0.4989
gsi_elo_no_match__beta1.7500_temp12.5000,0.7658,0.6605,0.7,0.0224,0.5671,0.0421,0.0134,0.7088,0.9678,gsi_elo_no_match,1.75,12.5,0.7087666666666665,0.21053333333333335,0.4982333333333332
gsi_elo_no_match__beta1.3750_temp10.0000,0.7684,0.6747,0.6684,0.0278,0.5481,0.0443,0.006,0.7038,0.9639,gsi_elo_no_match,1.375,10.0,0.7038333333333333,0.20673333333333335,0.4971
gsi_softmax_no_th__beta1.0000_temp15.0000,0.7596,0.656,0.698,0.031,0.544,0.048,0.0073,0.7045,0.9605,gsi_softmax_no_th,1.0,15.0,0.7045333333333333,0.20766666666666667,0.4968666666666667
gsi_softmax_no_th__beta1.0000_temp12.5000,0.7596,0.656,0.698,0.031,0.544,0.048,0.0073,0.7045,0.9605,gsi_softmax_no_th,1.0,12.5,0.7045333333333333,0.20766666666666667,0.4968666666666667
gsi_softmax_no_th__beta1.0000_temp11.2500,0.7596,0.656,0.698,0.031,0.544,0.048,0.0073,0.7045,0.9605,gsi_softmax_no_th,1.0,11.25,0.7045333333333333,0.20766666666666667,0.4968666666666667
gsi_softmax_no_th__beta1.0000_temp13.7500,0.7596,0.656,0.698,0.031,0.544,0.048,0.0073,0.7045,0.9605,gsi_softmax_no_th,1.0,13.75,0.7045333333333333,0.20766666666666667,0.4968666666666667
gsi_elo_no_th__beta1.7500_temp10.0000,0.7329,0.6679,0.7073,0.0378,0.522,0.061,0.0118,0.7027,0.9506,gsi_elo_no_th,1.75,10.0,0.7027000000000001,0.20693333333333333,0.4957666666666668
gsi_elo_no_th__beta1.0000_temp13.7500,0.7667,0.6631,0.7012,0.0381,0.5774,0.0286,0.0095,0.7103,0.9667,gsi_elo_no_th,1.0,13.75,0.7103333333333334,0.2147,0.49563333333333337
gsi_elo_no_th__beta1.0000_temp12.5000,0.765,0.6712,0.67,0.0388,0.5338,0.05,0.0073,0.7021,0.9556,gsi_elo_no_th,1.0,12.5,0.7020666666666666,0.20753333333333335,0.49453333333333327
gsi_softmax_no_th__beta1.0000_temp10.0000,0.7596,0.651,0.6939,0.031,0.545,0.048,0.0073,0.7015,0.9605,gsi_softmax_no_th,1.0,10.0,0.7014999999999999,0.208,0.49349999999999994
gsi_swiss_no_match__beta2.1250_temp10.0000,0.713,0.7117,0.7065,0.0532,0.5506,0.0494,0.0042,0.7104,0.9487,gsi_swiss_no_match,2.125,10.0,0.7104,0.21773333333333333,0.4926666666666667
gsi_swiss_no_match__beta1.3750_temp12.5000,0.7373,0.6373,0.712,0.0293,0.5413,0.04,0.014,0.6956,0.9653,gsi_swiss_no_match,1.375,12.5,0.6955333333333332,0.20353333333333334,0.4919999999999999
gsi_elo_no_th__beta2.5000_temp15.0000,0.7537,0.6488,0.6866,0.028,0.5366,0.0488,0.0042,0.6963,0.9616,gsi_elo_no_th,2.5,15.0,0.6963666666666667,0.20446666666666666,0.4919
gsi_elo_no_th__beta1.3750_temp15.0000,0.7525,0.66,0.7111,0.0296,0.5605,0.0691,0.0185,0.7079,0.9506,gsi_elo_no_th,1.375,15.0,0.7078666666666668,0.21973333333333334,0.4881333333333334
gsi_elo_no_match__beta1.0000_temp10.0000,0.744,0.6533,0.692,0.016,0.5813,0.0293,0.0036,0.6964,0.9773,gsi_elo_no_match,1.0,10.0,0.6964333333333332,0.20886666666666667,0.4875666666666666
gsi_swiss_no_match__beta1.3750_temp15.0000,0.7312,0.6494,0.7065,0.0403,0.5455,0.0403,0.0051,0.6957,0.9597,gsi_swiss_no_match,1.375,15.0,0.6957,0.2087,0.487
gsi_elo_no_match__beta2.1250_temp13.7500,0.7342,0.6684,0.6899,0.0291,0.5494,0.0532,0.0069,0.6975,0.9589,gsi_elo_no_match,2.125,13.75,0.6975000000000001,0.21056666666666668,0.48693333333333344
gsi_elo_no_match__beta1.3750_temp12.5000,0.7342,0.6211,0.6816,0.0039,0.5579,0.0145,0.0031,0.6789,0.9908,gsi_elo_no_match,1.375,12.5,0.6789666666666667,0.19209999999999997,0.4868666666666668
gsi_elo_no_match__beta1.0000_temp12.5000,0.7211,0.6461,0.6513,0.0289,0.4974,0.0342,0.0041,0.6728,0.9684,gsi_elo_no_match,1.0,12.5,0.6728333333333333,0.18683333333333332,0.486
gsi_swiss_no_match__beta1.7500_temp10.0000,0.7222,0.6025,0.6914,0.0123,0.5173,0.0358,0.0045,0.672,0.9759,gsi_swiss_no_match,1.75,10.0,0.6720333333333333,0.18846666666666667,0.4835666666666666
gsi_elo_no_match__beta1.3750_temp13.7500,0.7558,0.6494,0.6779,0.0208,0.5922,0.0195,0.0037,0.6944,0.9799,gsi_elo_no_match,1.375,13.75,0.6943666666666667,0.21083333333333332,0.48353333333333337
gsi_elo_no_match__beta2.1250_temp12.5000,0.724,0.6427,0.712,0.028,0.5693,0.032,0.0068,0.6929,0.97,gsi_elo_no_match,2.125,12.5,0.6929,0.20976666666666666,0.4831333333333333
gsi_elo_no_th__beta1.7500_temp11.2500,0.7488,0.6812,0.67,0.0575,0.5438,0.05,0.0191,0.7,0.9462,gsi_elo_no_th,1.75,11.25,0.7000000000000001,0.2171,0.4829000000000001
gsi_elo_no_match__beta2.1250_temp15.0000,0.7286,0.6831,0.6818,0.0312,0.561,0.0532,0.0085,0.6978,0.9578,gsi_elo_no_match,2.125,15.0,0.6978333333333334,0.21513333333333337,0.4827
gsi_swiss_no_match__beta1.7500_temp12.5000,0.739,0.6584,0.7013,0.0234,0.5688,0.0597,0.0126,0.6996,0.9584,gsi_swiss_no_match,1.75,12.5,0.6995666666666667,0.21729999999999997,0.48226666666666673
